Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,Price_a_planning_lot_size,AVE_PRICE_shipped_pack_lot,Cash_Intrest,PO_Mng_cost,Purchase_cost,REVENUE_RATIO,SGMC_ratio,WH_COST_RATIO,WH_COST_RATIO_aWeek,distribution_condition,LOT_SIZE,LT_boat,LT_air,LT_qourier,Indivisual_Packing,Packing_Lot,Transport_Lot,planning_lot_size,Distriburion_Cost,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,income_tax_from,income_tax_to,forex_rate_USD_from,forex_rate_USD_to
root,JPN,JPN,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
JPN,Platform,Platform,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
JPN,powerunit,powerunit,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
JPN,Cockpit,Cockpit,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
JPN,Transmission,Transmission,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
JPN,Body,Body,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Platform,frame,frame,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Platform,wheels,wheels,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
powerunit,motor,motor,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
powerunit,battery,battery,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Cockpit,steering,steering,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Cockpit,monitor,monitor,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Body,steel,steel,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Body,windows,windows,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
Body,wireharness,wireharness,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
motor,core,core,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
motor,coil,coil,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
motor,cover,cover,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0
