JPN,w053,S,"['HAM_N202420', 'HAM_D202420', 'HAM_I202420', 'MUC_N2024220', 'MUC_D2024220', 'MUC_I2024230', 'MUC_I2024220', 'FRALEAF202420', 'SHA_N2024140', 'SHA_N2024141', 'SHA_D2024140', 'SHA_D2024141', 'SHA_I2024140', 'SHA_I2024141', 'CAN_N2024140', 'CAN_D2024140', 'CAN_I2024140']"
JPN,w053,CO,[]
JPN,w053,I,"['HAM_N2024200', 'HAM_D2024200', 'HAM_I2024200', 'MUC_N2024230', 'MUC_D2024230', 'FRALEAF2024200', 'SHA_N2024150', 'SHA_N2024151', 'SHA_D2024150', 'SHA_D2024151', 'SHA_I2024150', 'SHA_I2024151', 'CAN_N2024150', 'CAN_D2024150', 'CAN_I2024150']"
JPN,w053,P,"['HAM_N2024200', 'HAM_D2024200', 'HAM_I2024200', 'MUC_N2024230', 'MUC_D2024230', 'FRALEAF2024200', 'SHA_N2024150', 'SHA_N2024151', 'SHA_D2024150', 'SHA_D2024151', 'SHA_I2024150', 'SHA_I2024151', 'CAN_N2024150', 'CAN_D2024150', 'CAN_I2024150']"
JPN,w054,S,"['HAM_N2024200', 'HAM_D2024200', 'HAM_I2024200', 'MUC_N2024230', 'MUC_D2024230', 'FRALEAF2024200', 'SHA_N2024150', 'SHA_N2024151', 'SHA_D2024150', 'SHA_D2024151', 'SHA_I2024150', 'SHA_I2024151', 'CAN_N2024150', 'CAN_D2024150', 'CAN_I2024150']"
JPN,w054,CO,[]
JPN,w054,I,"['HAM_N2024210', 'HAM_D2024210', 'HAM_I2024210', 'MUC_N2024240', 'MUC_D2024240', 'MUC_I2024240', 'FRALEAF2024210', 'SHA_N2024160', 'SHA_N2024161', 'SHA_D2024160', 'SHA_D2024161', 'SHA_I2024170', 'SHA_I2024171', 'SHA_I2024160', 'SHA_I2024161', 'CAN_N2024170', 'CAN_N2024160', 'CAN_D2024170', 'CAN_D2024160', 'CAN_I2024170', 'CAN_I2024160']"
JPN,w054,P,"['HAM_N2024210', 'HAM_D2024210', 'HAM_I2024210', 'MUC_N2024240', 'MUC_D2024240', 'MUC_I2024240', 'FRALEAF2024210', 'SHA_N2024160', 'SHA_N2024161', 'SHA_D2024160', 'SHA_D2024161', 'SHA_I2024170', 'SHA_I2024171', 'SHA_I2024160', 'SHA_I2024161', 'CAN_N2024170', 'CAN_N2024160', 'CAN_D2024170', 'CAN_D2024160', 'CAN_I2024170', 'CAN_I2024160']"
JPN,w055,S,"['HAM_N2024210', 'HAM_D2024210', 'HAM_I2024210', 'MUC_N2024240', 'MUC_D2024240', 'MUC_I2024240', 'FRALEAF2024210', 'SHA_N2024160', 'SHA_N2024161', 'SHA_D2024160', 'SHA_D2024161', 'SHA_I2024170', 'SHA_I2024171', 'SHA_I2024160', 'SHA_I2024161', 'CAN_N2024170', 'CAN_N2024160', 'CAN_D2024170', 'CAN_D2024160', 'CAN_I2024170', 'CAN_I2024160']"
JPN,w055,CO,[]
